17/11/2016;410
20/11/2016;1249
27/11/2016;1111
04/12/2016;1486
11/12/2016;1152
18/12/2016;1102
25/12/2016;1116
01/01/2017;863
08/01/2017;1132
15/01/2017;945
22/01/2017;1146
29/01/2017;1244
05/02/2017;1426
12/02/2017;1305
19/02/2017;1330
26/02/2017;1358
05/03/2017;1426
12/03/2017;2912
19/03/2017;5912
26/03/2017;4921
02/04/2017;2230
09/04/2017;1354
16/04/2017;1498
23/04/2017;1387
30/04/2017;1302
07/05/2017;2463
14/05/2017;5237
21/05/2017;6691
28/05/2017;6491
04/06/2017;6363
11/06/2017;5826
18/06/2017;6270
25/06/2017;5975
02/07/2017;5325
09/07/2017;5192
16/07/2017;3225
23/07/2017;4191
30/07/2017;4762
06/08/2017;3505
13/08/2017;3726
20/08/2017;2873
27/08/2017;4843
03/09/2017;6235
10/09/2017;6120
17/09/2017;5633
24/09/2017;3659
01/10/2017;4215
08/10/2017;2926
15/10/2017;4321
22/10/2017;3213
29/10/2017;3612
05/11/2017;4092
12/11/2017;2185
